/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/631_test/dmc_sim_r_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 3000.0
client_limit = 0.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 400000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 294232 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_107:    0.00 1778.50    0.00 1778.50
      t_108:    0.00 1777.50    0.00 1777.50
      t_109:    0.00 1778.50    0.00 1778.50
      t_110:    0.00 1777.50    0.00 1777.50
      t_111: 1892.00 1784.00    0.00 3676.00
      t_112: 3217.50 1783.00    0.00 5000.50
      t_113: 3207.50 1790.50    0.00 4998.00
      t_114: 3212.00 1790.50    0.00 5002.50
      t_115: 3216.00 1786.00    0.00 5002.00
      t_116: 3217.50 1783.00    0.00 5000.50
      t_117: 3221.00 1784.00    0.00 5005.00
      t_118: 3205.50 1783.00    0.00 4988.50
      t_119: 3221.50 1782.50    0.00 5004.00
      t_120: 2389.50 1784.50    0.00 4174.00
      t_121:    0.00 1778.00    0.00 1778.00
      t_122:    0.00 1777.50    0.00 1777.50
      t_123:    0.00 1779.50    0.00 1779.50
      t_124:    0.00 1780.00    0.00 1780.00
      t_125:    0.00 1778.00    0.00 1778.00
      t_126: 1084.50 1781.00    0.00 2865.50
      t_127: 3227.50 1784.00    0.00 5011.50
      t_128: 3213.00 1783.50    0.00 4996.50
      t_129: 3207.50 1787.50    0.00 4995.00
      t_130: 3218.50 1786.00    0.00 5004.50
