/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/111_test/dmc_sim_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 7000.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 3000
client_outstanding_ops = 100
client_reservation = 1000.0
client_limit = 0.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 900000
client_server_select_range = 20
client_iops_goal = 6000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 524172 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 1683.50 1684.00 1683.50 5051.00
        t_1: 1683.00 1683.00 1683.00 5049.00
        t_2: 1683.00 1682.50 1682.50 5048.00
        t_3: 1671.00 1671.50 1671.50 5014.00
        t_4: 1670.00 1671.00 1670.00 5011.00
        t_5: 1678.00 1677.50 1677.50 5033.00
        t_6: 1681.00 1681.00 1682.00 5044.00
       t_90:    0.00 2523.00 2523.50 5046.50
       t_91:    0.00 2530.00 2529.50 5059.50
       t_92:    0.00 2522.50 2522.50 5045.00
       t_93:    0.00 2527.00 2527.00 5054.00
       t_94:    0.00 2528.50 2528.50 5057.00
       t_95:    0.00 2511.50 2512.00 5023.50
       t_96:    1.00 2526.50 2526.50 5054.00
       t_97:    0.00 2512.50 2512.00 5024.50
       t_98:    0.00 2502.00 2502.00 5004.00
       t_99:    0.00 2508.00 2508.50 5016.50
      t_100:    0.00 2520.50 2519.50 5040.00
      t_101:    0.00 2524.50 2525.00 5049.50
      t_102:    0.00 2509.00 2509.00 5018.00
      t_103:    0.00 2516.00 2516.50 5032.50
      t_104:    0.00 2525.50 2525.50 5051.00
      t_105:    0.00 2534.00 2534.00 5068.00
      t_106:    0.00 2527.00 2527.00 5054.00
      t_107:    0.00 2528.00 2527.50 5055.50
      t_108:    0.50 2526.00 2526.00 5052.50
      t_109:    0.00 2529.00 2529.00 5058.00
      t_110:    0.00 2504.00 2504.00 5008.00
      t_111:    0.00 2513.50 2513.50 5027.00
      t_112:    0.00 2515.50 2516.00 5031.50
      t_113:    0.00 2507.00 2506.00 5013.00
      t_114:    0.00 2504.50 2505.00 5009.50
      t_115:    0.00 2513.00 2513.00 5026.00
      t_116:    0.00 2513.00 2513.00 5026.00
      t_117:    0.00 2512.00 2512.50 5024.50
      t_118:    0.00 2511.50 2511.50 5023.00
      t_119:    0.00 2513.00 2512.50 5025.50
      t_120:    1.00 2507.50 2507.50 5016.00
      t_121:    0.00 2511.00 2511.00 5022.00
      t_122:    0.00 2505.00 2505.50 5010.50
      t_123:    0.00 2507.00 2507.00 5014.00
      t_124:    0.00 2513.00 2513.00 5026.00
      t_125:    0.00  464.50 4603.50 5068.00
      t_126:    1.00    0.00 5078.00 5079.00
      t_127:    2.50    0.00 5072.00 5074.50
      t_128:   18.00    0.00 5051.50 5069.50
      t_129:   17.50    0.00 5060.00 5077.50
      t_130:    3.00    0.00 5079.00 5082.00
      t_131:    2.00    0.00 5064.50 5066.50
      t_132:  487.50    0.00 4622.50 5110.00
      t_133: 2549.00    0.00 2548.50 5097.50
      t_134: 2540.50    0.00 2541.00 5081.50
      t_135: 2537.50    0.00 2537.50 5075.00
      t_136: 2536.00    0.00 2535.50 5071.50
      t_137: 2526.50    0.00 2527.00 5053.50
      t_138: 2522.50    0.00 2522.00 5044.50
      t_139: 2530.50    0.00 2530.50 5061.00
      t_140: 2521.50    0.00 2521.50 5043.00
      t_141: 2516.00    0.00 2516.00 5032.00
      t_142: 2529.50    0.00 2530.00 5059.50
      t_143: 2532.00    0.00 2532.00 5064.00
      t_144: 1621.00    0.00 3304.50 4925.50
      t_145:    0.00    0.00 4367.50 4367.50
      t_146:    0.00    0.00 4376.00 4376.00
      t_147:    0.00    0.00 4328.00 4328.00
      t_148:    0.00    0.00 4329.50 4329.50
      t_149:    0.00    0.00 4334.50 4334.50
      t_150:    0.00    0.00 4334.50 4334.50
      t_151:    0.00    0.00 4334.50 4334.50
      t_152:    5.00    0.00 4969.50 4974.50
      t_153:    1.00    0.00 5071.00 5072.00
      t_154:    3.00    0.00 5072.50 5075.50
      t_155:    1.50    0.00 5084.50 5086.00
      t_156:    0.50    0.00 5089.50 5090.00
      t_157:    8.50    0.00 5092.50 5101.00
      t_158:    8.00    0.00 5092.00 5100.00
      t_159:    2.00    0.00 5102.50 5104.50
      t_160:    1.00    0.00 5099.00 5100.00
      t_161: 1485.00    0.00 3610.50 5095.50
      t_162: 5012.50    0.00    0.00 5012.50
      t_163: 5089.50    0.00    0.00 5089.50
      t_164: 5089.00    0.00    0.00 5089.00
      t_165: 5093.50    0.00    0.00 5093.50
      t_166: 4901.00    0.00    0.00 4901.00
      t_167: 3299.00    0.00    0.00 3299.00
      t_168:    0.00    0.00    0.00    0.00
      t_169:    0.00    0.00    0.00    0.00
      t_170:    0.00    0.00    0.00    0.00
      t_171:    0.00    0.00    0.00    0.00
      t_172:    0.00    0.00    0.00    0.00
      t_173:    0.00    0.00    0.00    0.00
      t_174:    0.00    0.00    0.00    0.00
      t_175: 4102.50    0.00    0.00 4102.50
