/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/631_test/dmc_sim_rwl3_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 5000.0
client_weight = 6.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 3.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 500.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 600027 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_100:    0.00    0.00  500.00  500.00
      t_101:    0.00    0.00  500.00  500.00
      t_102:    0.00    0.00  500.00  500.00
      t_103:    0.00    0.00  500.00  500.00
      t_104:    0.00    0.00  500.00  500.00
      t_105: 2916.00    0.00  500.00 3416.00
      t_106: 4576.50    0.00  500.00 5076.50
      t_107: 4524.50    0.00  500.00 5024.50
      t_108: 4530.00    0.00  500.00 5030.00
      t_109: 4558.50    0.00  500.00 5058.50
      t_110: 4576.00    0.00  500.00 5076.00
      t_111: 4318.50    0.00  500.00 4818.50
      t_112:    0.00    0.00  500.00  500.00
      t_113:    0.00    0.00  500.00  500.00
      t_114:    0.00    0.00  500.00  500.00
      t_115:    0.00    0.00  500.00  500.00
      t_116:    0.00    0.00  500.00  500.00
      t_117:    0.00    0.00  500.00  500.00
      t_118:    0.00    0.00  500.00  500.00
      t_119: 2783.00    0.00  499.50 3282.50
      t_120: 4573.00    0.00  500.00 5073.00
      t_121: 4562.50    0.00  500.00 5062.50
      t_122: 4583.50    0.00  500.00 5083.50
      t_123: 4589.00    0.00  500.00 5089.00
      t_124: 4570.50    0.00  500.00 5070.50
      t_125: 4338.50    0.00  500.00 4838.50
      t_126:    0.00    0.00  500.00  500.00
      t_127:    0.00    0.00  500.00  500.00
      t_128:    0.00    0.00  500.00  500.00
      t_129:    0.00    0.00  500.00  500.00
      t_130:    0.00    0.00  500.00  500.00
      t_131:    0.00    0.00  500.00  500.00
      t_132:    0.00    0.00  500.00  500.00
      t_133: 2773.00    0.00  500.00 3273.00
      t_134: 4547.00    0.00  500.00 5047.00
      t_135: 4581.00    0.00  500.00 5081.00
      t_136: 4555.50    0.00  500.00 5055.50
      t_137: 4542.50    0.00  500.00 5042.50
      t_138: 4529.50    0.00  500.00 5029.50
      t_139: 4471.50    0.00  500.00 4971.50
      t_140:    0.00    0.00  500.00  500.00
      t_141:    0.00    0.00  500.00  500.00
      t_142:    0.00    0.00  499.50  499.50
      t_143:    0.00    0.00  500.00  500.00
      t_144:    0.00    0.00  500.00  500.00
      t_145:    0.00    0.00  500.00  500.00
      t_146:    0.00    0.00  500.00  500.00
      t_147: 2576.00    0.00  500.00 3076.00
      t_148: 4548.00    0.00  500.00 5048.00
      t_149: 4536.00    0.00  500.00 5036.00
      t_150: 4467.00    0.00  500.00 4967.00
      t_151: 4478.00    0.00  500.00 4978.00
      t_152: 4564.00    0.00  500.00 5064.00
      t_153: 4562.50    0.00  500.00 5062.50
      t_154:  268.00    0.00  500.00  768.00
      t_155:    0.00    0.00  500.00  500.00
      t_156:    0.00    0.00  500.00  500.00
      t_157:    0.00    0.00  500.00  500.00
      t_158:    0.00    0.00  500.00  500.00
      t_159:    0.00    0.00  500.00  500.00
      t_160:    0.00    0.00  500.00  500.00
      t_161:    0.00    0.00  500.00  500.00
      t_162:    0.00    0.00  500.00  500.00
      t_163:    0.00    0.00  499.50  499.50
      t_164:    0.00    0.00  500.00  500.00
      t_165:    0.00    0.00  500.00  500.00
      t_166:    0.00    0.00  500.00  500.00
      t_167:    0.00    0.00  500.00  500.00
      t_168:    0.00    0.00  500.00  500.00
      t_169:    0.00    0.00  500.00  500.00
      t_170:    0.00    0.00  500.00  500.00
      t_171:    0.00    0.00  500.00  500.00
      t_172:    0.00    0.00  500.00  500.00
      t_173:    0.00    0.00  500.00  500.00
      t_174:    0.00    0.00  500.00  500.00
      t_175:    0.00    0.00  500.00  500.00
      t_176:    0.00    0.00  500.00  500.00
      t_177:    0.00    0.00  500.00  500.00
      t_178:    0.00    0.00  500.00  500.00
      t_179:    0.00    0.00  500.00  500.00
      t_180:    0.00    0.00  500.00  500.00
      t_181:    0.00    0.00  500.00  500.00
      t_182:    0.00    0.00  500.00  500.00
      t_183:    0.00    0.00  500.00  500.00
      t_184:    0.00    0.00  500.00  500.00
      t_185:    0.00    0.00  499.50  499.50
      t_186:    0.00    0.00  500.00  500.00
      t_187:    0.00    0.00  500.00  500.00
      t_188:    0.00    0.00  500.00  500.00
      t_189:    0.00    0.00  500.00  500.00
      t_190:    0.00    0.00  500.00  500.00
      t_191:    0.00    0.00  500.00  500.00
      t_192:    0.00    0.00  500.00  500.00
      t_193:    0.00    0.00  500.00  500.00
      t_194:    0.00    0.00  500.00  500.00
      t_195:    0.00    0.00  500.00  500.00
      t_196:    0.00    0.00  500.00  500.00
      t_197:    0.00    0.00  500.00  500.00
      t_198:    0.00    0.00  500.00  500.00
      t_199:    0.00    0.00  500.00  500.00
      t_200:    0.00    0.00  500.00  500.00
      t_201:    0.00    0.00  500.00  500.00
      t_202:    0.00    0.00  500.00  500.00
      t_203:    0.00    0.00  500.00  500.00
      t_204:    0.00    0.00  500.00  500.00
      t_205:    0.00    0.00  500.00  500.00
      t_206:    0.00    0.00  499.50  499.50
      t_207:    0.00    0.00  500.00  500.00
      t_208:    0.00    0.00  500.00  500.00
      t_209:    0.00    0.00  500.00  500.00
      t_210:    0.00    0.00  500.00  500.00
      t_211:    0.00    0.00  500.00  500.00
      t_212:    0.00    0.00  500.00  500.00
      t_213:    0.00    0.00  500.00  500.00
      t_214:    0.00    0.00  500.00  500.00
      t_215:    0.00    0.00  500.00  500.00
      t_216:    0.00    0.00  500.00  500.00
      t_217:    0.00    0.00  500.00  500.00
      t_218:    0.00    0.00  500.00  500.00
      t_219:    0.00    0.00  500.00  500.00
      t_220:    0.00    0.00  500.00  500.00
      t_221:    0.00    0.00  500.00  500.00
      t_222:    0.00    0.00  500.00  500.00
      t_223:    0.00    0.00  500.00  500.00
      t_224:    0.00    0.00  500.00  500.00
      t_225:    0.00    0.00  500.00  500.00
      t_226:    0.00    0.00  500.00  500.00
      t_227:    0.00    0.00  500.00  500.00
      t_228:    0.00    0.00  499.50  499.50
      t_229:    0.00    0.00  500.00  500.00
      t_230:    0.00    0.00  500.00  500.00
      t_231:    0.00    0.00  500.00  500.00
      t_232:    0.00    0.00  500.00  500.00
      t_233:    0.00    0.00  500.00  500.00
      t_234:    0.00    0.00  500.00  500.00
      t_235:    0.00    0.00  500.00  500.00
      t_236:    0.00    0.00  500.00  500.00
      t_237:    0.00    0.00  500.00  500.00
      t_238:    0.00    0.00  500.00  500.00
      t_239:    0.00    0.00  500.00  500.00
      t_240:    0.00    0.00  500.00  500.00
      t_241:    0.00    0.00  500.00  500.00
      t_242:    0.00    0.00  500.00  500.00
      t_243:    0.00    0.00  500.00  500.00
      t_244:    0.00    0.00  500.00  500.00
      t_245:    0.00    0.00  500.00  500.00
      t_246:    0.00    0.00  500.00  500.00
      t_247:    0.00    0.00  500.00  500.00
      t_248:    0.00    0.00  500.00  500.00
      t_249:    0.00    0.00  499.50  499.50
      t_250:    0.00    0.00  500.00  500.00
      t_251:    0.00    0.00  500.00  500.00
      t_252:    0.00    0.00  500.00  500.00
      t_253:    0.00    0.00  500.00  500.00
      t_254:    0.00    0.00  500.00  500.00
      t_255:    0.00    0.00  500.00  500.00
      t_256:    0.00    0.00  500.00  500.00
      t_257:    0.00    0.00  500.00  500.00
      t_258:    0.00    0.00  500.00  500.00
      t_259:    0.00    0.00  500.00  500.00
      t_260:    0.00    0.00  500.00  500.00
      t_261:    0.00    0.00  500.00  500.00
      t_262:    0.00    0.00  500.00  500.00
      t_263:    0.00    0.00  500.00  500.00
      t_264:    0.00    0.00  500.00  500.00
      t_265:    0.00    0.00  500.00  500.00
      t_266:    0.00    0.00  500.00  500.00
      t_267:    0.00    0.00  500.00  500.00
      t_268:    0.00    0.00  500.00  500.00
      t_269:    0.00    0.00  500.00  500.00
