[root@k8s-workder136 dmclock]# ./build/sim/dmc_sim -c sim/631_test/dmc_sim_wl_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 3000.0
client_weight = 6.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 400000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 0.0
client_limit = 1500.0
client_weight = 3.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 500.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 308000 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_108: 3216.50 1777.50    0.00 4994.00
      t_109: 3213.50 1777.50    0.00 4991.00
      t_110: 1139.50 1782.50 1641.50 4563.50
      t_111:    0.00 1777.50 2558.50 4336.00
      t_112:    0.00 1777.00 2565.50 4342.50
      t_113:    0.00 1742.00 2562.50 4304.50
      t_114:    0.00    0.00 2533.50 2533.50
      t_115:    0.00    0.00 2534.00 2534.00
      t_116:    0.00    0.00 2523.00 2523.00
      t_117:  669.00    0.00 2429.50 3098.50
      t_118: 3000.00    0.00 2088.50 5088.50
      t_119: 3000.50    0.00 2074.00 5074.50
      t_120: 3000.00    0.00 2097.00 5097.00
      t_121: 3000.00    0.00 2081.50 5081.50
      t_122: 3000.50    0.00 2089.00 5089.50
      t_123: 3000.00    0.00 2079.00 5079.00
      t_124: 3000.50    0.00 2103.50 5104.00
      t_125: 3384.00    0.00 1725.00 5109.00
      t_126: 4945.50    0.00    0.00 4945.50
      t_127:    0.00    0.00    0.00    0.00
      t_128:    0.00    0.00    0.00    0.00
      t_129:    0.00    0.00    0.00    0.00
      t_130:    0.00    0.00    0.00    0.00
      t_131:    0.00    0.00    0.00    0.00
      t_132:    0.00    0.00    0.00    0.00
      t_133:    0.00    0.00    0.00    0.00
      t_134: 2932.00    0.00    0.00 2932.00
      t_135: 5011.50    0.00    0.00 5011.50
      t_136: 5074.50    0.00    0.00 5074.50
      t_137: 4990.50    0.00    0.00 4990.50
      t_138: 4867.00    0.00    0.00 4867.00
      t_139: 5107.00    0.00    0.00 5107.00
      t_140: 2017.50    0.00    0.00 2017.50
      t_141:    0.00    0.00    0.00    0.00
      t_142:    0.00    0.00    0.00    0.00
      t_143:    0.00    0.00    0.00    0.00
      t_144:    0.00    0.00    0.00    0.00
      t_145:    0.00    0.00    0.00    0.00
      t_146:    0.00    0.00    0.00    0.00
      t_147:  503.00    0.00    0.00  503.00
      t_148: 4872.00    0.00    0.00 4872.00
      t_149: 4868.00    0.00    0.00 4868.00
      t_150: 4910.50    0.00    0.00 4910.50
      t_151: 4909.00    0.00    0.00 4909.00
      t_152: 4949.50    0.00    0.00 4949.50
      t_153: 4987.50    0.00    0.00 4987.50
      t_154:    0.00    0.00    0.00    0.00
    res_ops:       0       0       0       0
   prop_ops:  600000  400000  300000 1300000
total time to track responses: 1859272759 nanoseconds;
    count: 1300000;
    average: 1430.21 nanoseconds per request/response
total time to get request parameters: 2062992905 nanoseconds;
    count: 1300000;
    average: 1586.92 nanoseconds per request/response

client timing for QOS algorithm: 3017.13 nanoseconds per request/response
client 0's 95th latency: 1965, 22976, 24315
client 0's 99th latency: 3689, 37606, 38904
client 0's max latency: 49624, 176763, 178018
client 0's average latency: 1256, 30744573452750, 30744573454006

client 1's 95th latency: 3827, 29393, 31940
client 1's 99th latency: 3986, 40453, 43136
client 1's max latency: 105946, 675529, 678887
client 1's average latency: 1752, 46116860180947, 46116860182700

client 2's 95th latency: 3592, 39190, 41499
client 2's 99th latency: 3762, 82690, 86362
client 2's max latency: 66479, 554682, 556463
client 2's average latency: 1347, 61489146906079, 61489146907427


==== Server Data ====
     server:       0   total
    res_ops:       0       0
   prop_ops: 1300000 1300000

 k-way heap: 2

total time to add requests: 21790345496 nanoseconds;
    count: 1300000;
    average: 16761.80 nanoseconds per request/response
total time to note requests complete: 5570643411 nanoseconds;
    count: 1300000;
    average: 4285.11 nanoseconds per request/response

server timing for QOS algorithm: 21046.91 nanoseconds per request/response
