[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 1250.0
client_limit = 3000.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 1000000
client_server_select_range = 10
client_iops_goal = 5000
client_outstanding_ops = 100
client_reservation = 2000.0
client_limit = 2500.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 5000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 1250.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started

simulation completed in 479957 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_132: 1337.50 2499.50 1250.50 5087.50
      t_133: 1327.50 2500.00 1249.50 5077.00
      t_134: 1327.50 2500.00 1250.50 5078.00
      t_135: 1286.00 2497.50 1250.00 5033.50
      t_136: 1250.00 2499.50 1250.50 5000.00
      t_137: 1300.00 2501.50 1250.00 5051.50
      t_138: 1303.50 2499.50 1250.00 5053.00
      t_139: 1561.00 2242.50 1250.50 5054.00
      t_140: 1795.00 2000.50 1249.50 5045.00
      t_141: 1836.50 2000.00 1250.50 5087.00
      t_142: 1827.50 2000.00 1250.50 5078.00
      t_143: 1825.50 2000.50 1249.50 5075.50
      t_144: 1826.00 2000.00 1250.50 5076.50
      t_145: 1162.00 2228.50 1250.50 4641.00
      t_146:    0.00 2499.00 1250.50 3749.50
      t_147:    0.00 2499.50 1250.00 3749.50
      t_148:    0.00 2500.00 1250.00 3750.00
      t_149:    0.00 2499.50 1250.50 3750.00
      t_150:    0.00 2499.50 1250.00 3749.50
      t_151:  649.00 2499.00 1250.00 4398.00
      t_152: 1307.50 2499.50 1250.00 5057.00
      t_153: 1317.00 2499.50 1250.00 5066.50
      t_154: 1316.00 2500.00 1250.50 5066.50
      t_155: 1291.50 2499.00 1250.00 5040.50
      t_156: 1314.50 2499.50 1250.50 5064.50
      t_157: 1269.50 2498.00 1250.00 5017.50
      t_158: 1250.50 2499.00 1250.00 4999.50
      t_159: 1250.00 2493.50 1250.50 4994.00
      t_160: 1250.00 2497.50 1250.00 4997.50
      t_161: 1250.50 2496.00 1250.00 4996.50
      t_162: 1250.00 2495.50 1250.50 4996.00
      t_163: 1250.00 2513.50 1250.00 5013.50
      t_164: 1309.50 2504.50 1249.50 5063.50
      t_165: 1571.00 2265.00 1250.50 5086.50
      t_166: 1838.50 2000.00 1250.50 5089.00
      t_167: 1836.50 2000.00 1250.00 5086.50
      t_168: 1847.50 2000.50 1250.50 5098.50
      t_169: 1827.50 2000.00 1250.00 5077.50
      t_170: 1835.00 2000.00 1250.00 5085.00
      t_171: 1827.00 2000.50 1250.00 5077.50
      t_172:  141.50 2509.00 1250.50 3901.00
      t_173:    0.00 2499.50 1250.00 3749.50
      t_174:    0.00 2499.50 1250.50 3750.00
      t_175:    0.00 2499.50 1250.00 3749.50
      t_176:    0.00 2499.50 1250.00 3749.50
      t_177:   85.00 2499.00 1250.00 3834.00
      t_178: 1342.50 2499.50 1250.00 5092.00
      t_179: 1333.50 2499.50 1250.50 5083.50
      t_180: 1342.00 2499.50 1250.00 5091.50
      t_181: 1326.50 2500.00 1250.00 5076.50
      t_182: 1250.00 2494.50 1250.50 4995.00
      t_183: 1265.00 2504.50 1250.00 5019.50
      t_184: 1324.50 2499.00 1250.50 5074.00
      t_185: 1329.00 2500.50 1249.50 5079.00
      t_186: 1338.50 2499.50 1250.50 5088.50
      t_187: 1337.50 2499.50 1250.00 5087.00
      t_188: 1335.00 2499.00 1250.50 5084.50
      t_189: 1327.50 2500.50 1250.00 5078.00
      t_190: 1342.00 2499.00 1250.00 5091.00
      t_191: 1317.50 2499.50 1250.50 5067.50
      t_192: 1542.00 2300.00 1250.00 5092.00
      t_193: 1825.50 2000.00 1250.00 5075.50
      t_194: 1814.50 2000.00 1250.50 5065.00
      t_195: 1831.50 2000.50 1250.00 5082.00
      t_196: 1815.00 2000.00 1250.00 5065.00
      t_197: 1843.50 2000.00 1250.50 5094.00
      t_198:  732.00 2347.50 1250.50 4330.00
      t_199:    0.00 2499.50 1250.00 3749.50
      t_200:    0.00 2500.00 1250.00 3750.00
      t_201:    0.00 2499.50 1250.00 3749.50
      t_202:    0.00 2499.50 1250.50 3750.00
      t_203:    0.00 2499.50 1250.00 3749.50
      t_204:  999.50 2499.00 1250.00 4748.50
      t_205: 1340.50 2499.50 1250.00 5090.00
      t_206: 1329.00 2499.50 1250.50 5079.00
      t_207: 1335.50 2500.00 1250.00 5085.50
      t_208: 1331.50 2499.00 1250.50 5081.00
      t_209: 1333.50 2500.00 1246.00 5079.50
      t_210: 1345.50 2499.50 1250.50 5095.50
      t_211: 1342.50 2499.50 1250.00 5092.00
      t_212: 1341.50 2499.50 1250.00 5091.00
      t_213: 3120.00  191.00 1250.50 4561.50
      t_214: 3000.00    0.00 1250.00 4250.00
      t_215: 3000.00    0.00 1250.50 4250.50
      t_216: 3000.50    0.00 1250.00 4250.50
      t_217: 3000.00    0.00 1250.00 4250.00
      t_218: 3000.50    0.00 1250.50 4251.00
      t_219:  180.00    0.00 1250.00 1430.00
      t_220:    0.00    0.00 1250.00 1250.00
      t_221:    0.00    0.00 1250.50 1250.50
      t_222:    0.00    0.00 1250.00 1250.00
      t_223:    0.00    0.00 1250.00 1250.00
      t_224:   69.50    0.00 1250.50 1320.00
      t_225: 3000.50    0.00 1250.00 4250.50
