/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/131_test/dmc_sim_r_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 0
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 1250.0
client_limit = 0.0
client_weight = 0.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 1000000
client_server_select_range = 10
client_iops_goal = 5000
client_outstanding_ops = 100
client_reservation = 2000.0
client_limit = 0.0
client_weight = 0.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 1250.0
client_limit = 0.0
client_weight = 0.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 584336 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_203:    0.00 2000.50 1250.00 3250.50
      t_204:    0.00 2000.00 1250.00 3250.00
      t_205:    0.00 2000.00 1250.50 3250.50
      t_206:    0.00 2000.00 1250.00 3250.00
      t_207:    0.00 2000.50 1250.00 3250.50
      t_208:  527.50 2000.00 1250.50 3778.00
      t_209: 1250.50 2000.00 1245.00 4495.50
      t_210: 1250.00 2000.50 1250.00 4500.50
      t_211: 1250.00 2000.00 1250.50 4500.50
      t_212: 1250.50 2000.00 1250.00 4500.50
      t_213: 1250.00 2000.00 1250.00 4500.00
      t_214: 1250.00 2000.50 1250.50 4501.00
      t_215: 1250.50 2000.00 1250.00 4500.50
      t_216: 1250.00 2000.00 1250.00 4500.00
      t_217: 1250.00 2000.50 1250.50 4501.00
      t_218: 1250.50 1999.50 1250.00 4500.00
      t_219: 1250.00 2000.50 1250.00 4500.50
      t_220: 1250.00 2000.00 1250.50 4500.50
      t_221: 1250.50 2000.00 1250.00 4500.50
      t_222: 1250.00 2000.50 1250.00 4500.50
      t_223: 1250.00 2000.00 1250.50 4500.50
      t_224: 1250.50 2000.00 1250.00 4500.50
      t_225: 1250.00 2000.50 1250.00 4500.50
      t_226: 1250.00 2000.00 1250.50 4500.50
      t_227: 1250.50 2000.00 1250.00 4500.50
      t_228: 1250.00 2000.50 1250.00 4500.50
      t_229: 1250.00 2000.00 1250.50 4500.50
      t_230: 1250.50 2000.00 1250.00 4500.50
      t_231: 1250.00 2000.50 1250.00 4500.50
      t_232:  718.50 2000.00 1250.50 3969.00
      t_233:    0.00 2000.00 1250.00 3250.00
      t_234:    0.00 2000.50 1250.00 3250.50
      t_235:    0.00 2000.00 1250.50 3250.50
      t_236:    0.00 2000.00 1250.00 3250.00
      t_237:    0.00 2000.00 1250.00 3250.00
      t_238:  782.00 2000.00 1250.50 4032.50
      t_239: 1250.00 2000.50 1218.50 4469.00
      t_240: 1250.00 2000.00    0.00 3250.00
      t_241: 1250.50 2000.00    0.00 3250.50
      t_242: 1250.00 2000.50    0.00 3250.50
      t_243: 1250.00 2000.00    0.00 3250.00
      t_244: 1250.50 2000.00    0.00 3250.50
      t_245: 1250.00 2000.50    0.00 3250.50
      t_246: 1250.00 2000.00    0.00 3250.00
      t_247: 1250.50 2000.00    0.00 3250.50
      t_248: 1250.00 2000.50    0.00 3250.50
      t_249: 1250.00 1963.50    0.00 3213.50
      t_250: 1250.50    0.00    0.00 1250.50
      t_251: 1250.00    0.00    0.00 1250.00
      t_252: 1250.00    0.00    0.00 1250.00
      t_253: 1250.50    0.00    0.00 1250.50
      t_254: 1250.00    0.00    0.00 1250.00
      t_255: 1250.00    0.00    0.00 1250.00
      t_256: 1250.50    0.00    0.00 1250.50
      t_257: 1250.00    0.00    0.00 1250.00
      t_258: 1250.00    0.00    0.00 1250.00
      t_259: 1250.50    0.00    0.00 1250.50
      t_260: 1250.00    0.00    0.00 1250.00
      t_261: 1250.00    0.00    0.00 1250.00
      t_262:  464.50    0.00    0.00  464.50
      t_263:    0.00    0.00    0.00    0.00
      t_264:    0.00    0.00    0.00    0.00
