/tmp/tmp.NzemDORxBq/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NzemDORxBq/sim/631_test-03/dmc_sim_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000
system_capacity = 5000.000
mclock_win_size = 20.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 5000.0
client_weight = 6.0
client_type = 1

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 3.0
client_type = 0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0
client_type = 2

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 395061 millisecs
==== Client Data ====
     client:       0       1       2  total
      t_105:    0.00 1779.00 2558.50 4337.50
      t_106:    0.00 1781.00 2560.50 4341.50
      t_107:    0.00 1778.50 2556.50 4335.00
      t_108:    0.00 1778.00 2556.00 4334.00
      t_109: 1679.50 1526.50 1444.00 4650.00
      t_110: 3866.00 1200.00    0.00 5066.00
      t_111: 3845.00 1200.50    0.00 5045.50
      t_112: 3885.50 1200.00    0.00 5085.50
      t_113: 3888.00 1200.00    0.00 5088.00
      t_114: 3863.00 1200.00    0.00 5063.00
      t_115: 3866.50 1200.00    0.00 5066.50
      t_116: 3813.50 1200.50    0.00 5014.00
      t_117: 1293.00 1629.50 1632.00 4554.50
      t_118:    0.00 1777.00 2555.00 4332.00
      t_119:    0.00 1777.50 2555.50 4333.00
      t_120:    0.00 1778.50 2556.00 4334.50
      t_121:    0.00 1778.00 2555.50 4333.50
      t_122:    0.00 1778.00 2556.00 4334.00
      t_123: 2799.00 1359.00  686.50 4844.50
      t_124: 3860.50 1200.00    0.00 5060.50
      t_125: 3833.00 1200.00    0.00 5033.00
      t_126: 3866.00 1200.50    0.00 5066.50
      t_127: 3880.00 1200.00    0.00 5080.00
      t_128: 3871.50 1200.00    0.00 5071.50
      t_129: 3885.00 1200.00    0.00 5085.00
      t_130: 3860.00 1200.00    0.00 5060.00
      t_131:  144.50 1805.50 2420.00 4370.00
      t_132:    0.00 1777.00 2557.00 4334.00
      t_133:    0.00 1777.50 2555.00 4332.50
      t_134:    0.00 1778.00 2552.50 4330.50
      t_135:    0.00 1778.00 2554.00 4332.00
      t_136:    0.00 1777.50 2556.50 4334.00
      t_137:    0.00 1778.50 2554.50 4333.00
      t_138:    0.00 1778.00 2557.50 4335.50
      t_139:    0.00 1778.00 2556.00 4334.00
      t_140:    0.00 1778.00 2555.00 4333.00
      t_141:    0.00 1778.00 2555.50 4333.50
      t_142:    0.00 1777.50 2555.00 4332.50
      t_143:    0.00 1778.00 2555.50 4333.50
      t_144:    0.00 1777.50 2555.00 4332.50
      t_145:    0.00 1777.50 2555.50 4333.00
      t_146:    0.00 1778.00 2556.00 4334.00
      t_147:    0.00 1777.50 2556.50 4334.00
      t_148:    0.00 1778.00 2554.50 4332.50
      t_149:    0.00 1777.50 2555.50 4333.00
      t_150:    0.00 1777.50 2552.00 4329.50
      t_151:    0.00 1777.50 2554.00 4331.50
      t_152:    0.00 1777.50 2555.50 4333.00
      t_153:    0.00 1775.00 2553.50 4328.50
      t_154:    0.00 1776.50 2565.00 4341.50
      t_155:    0.00 1777.50 2558.00 4335.50
      t_156:    0.00 1777.00 2560.50 4337.50
      t_157:    0.00 1778.00 2556.50 4334.50
      t_158:    0.00 1778.00 2556.00 4334.00
      t_159:    0.00 1778.00 2555.00 4333.00
      t_160:    0.00 1778.00 2556.00 4334.00
      t_161:    0.00 1777.00 2554.50 4331.50
      t_162:    0.00 1778.50 2553.50 4332.00
      t_163:    0.00 1778.00 2554.50 4332.50
      t_164:    0.00 1778.50 2554.00 4332.50
      t_165:    0.00 1778.00 2557.50 4335.50
      t_166:    0.00 1777.00 2558.50 4335.50
      t_167:    0.00 1777.50 2556.00 4333.50
      t_168:    0.00 1777.50 2556.00 4333.50
      t_169:    0.00 1778.00 2555.50 4333.50
      t_170:    0.00 1778.00 2555.50 4333.50
      t_171:    0.00 1777.50 2555.00 4332.50
      t_172:    0.00 1770.00 2555.00 4325.00
      t_173:    0.00 1777.00 2555.50 4332.50
      t_174:    0.00 1778.00 2555.50 4333.50
      t_175:    0.00 1777.50 2555.00 4332.50
      t_176:    0.00 1777.50 2554.00 4331.50
      t_177:    0.00 1778.00 2555.50 4333.50
      t_178:    0.00 1777.50 2554.50 4332.00
      t_179:    0.00 1778.00 2555.50 4333.50
      t_180:    0.00 1778.00 2555.00 4333.00
      t_181:    0.00 1778.00 2556.50 4334.50
      t_182:    0.00 1777.50 2536.50 4314.00
      t_183:    0.00 1778.00 2554.50 4332.50
      t_184:    0.00 1777.50 2553.00 4330.50
      t_185:    0.00 1778.00 2554.50 4332.50
      t_186:    0.00 1777.00 2554.00 4331.00
      t_187:    0.00 1777.50 2556.00 4333.50
      t_188:    0.00 1777.50 2554.50 4332.00
      t_189:    0.00 1778.00 2554.00 4332.00
      t_190:    0.00 1778.00 2555.50 4333.50
      t_191:    0.00 1777.00 2554.50 4331.50
      t_192:    0.00 1778.50 2556.00 4334.50
      t_193:    0.00 1194.00 2547.00 3741.00
      t_194:    0.00    0.00 2530.50 2530.50
      t_195:    0.00    0.00 2530.50 2530.50
      t_196:    0.00    0.00 2531.50 2531.50
      t_197:    0.00    0.00   75.00   75.00
      t_198:    0.00    0.00    0.00    0.00
    res_ops:       0  392786       0  392786
   prop_ops:  600000  207214  600000 1407214
total time to track responses: 2786995134 nanoseconds;
    count: 1800000;
    average: 1548.33 nanoseconds per request/response
total time to get request parameters: 2866003839 nanoseconds;
    count: 1800000;
    average: 1592.22 nanoseconds per request/response

client timing for QOS algorithm: 3140.55 nanoseconds per request/response
client 0's 95th latency: 1799, 22599, 23980
client 0's 99th latency: 1979, 32165, 34269
client 0's max latency: 67256, 763728, 764663
client 0's average latency: 1305, 30744573453363, 30744573454668

client 1's 95th latency: 3693, 25511, 27525
client 1's 99th latency: 3793, 38329, 41887
client 1's max latency: 77138, 909448, 910852
client 1's average latency: 2095, 30744573454658, 571

client 2's 95th latency: 1774, 24390, 25771
client 2's 99th latency: 3802, 38559, 40278
client 2's max latency: 59983, 938499, 941325
client 2's average latency: 1244, 3338, 30744573453607


==== Server Data ====
     server:       0   total
    res_ops:  392786  392786
   prop_ops: 1407214 1407214

 k-way heap: 2

total time to add requests: 29970194916 nanoseconds;
    count: 1800000;
    average: 16650.11 nanoseconds per request/response
total time to note requests complete: 5426019867 nanoseconds;
    count: 1800000;
    average: 3014.46 nanoseconds per request/response

server timing for QOS algorithm: 19664.56 nanoseconds per request/response

Process finished with exit code 0
